L_u,m_abs_u,L_g,m_abs_g,L_r,m_abs_r,L_i,m_abs_i,L_z,m_abs_z,L_y,m_abs_y
2.9630906346043063e-27,19.715853893929456,2.9065510060807906e-27,19.73677136186984,2.791501498051866e-27,19.780621570361838,2.6835766898296275e-27,19.82343120639186,2.5957775701296077e-27,19.859547544948242,2.5218422704540012e-27,19.89092143353687
3.298601904278524e-27,19.599391470090115,3.2236389981041812e-27,19.624350230917837,3.088587461732397e-27,19.67081647330004,2.9653971354182646e-27,19.71500907425081,2.866259527523085e-27,19.75192745511849,2.783247380402422e-27,19.7838367110308
3.652791251690004e-27,19.488654098418095,3.557726999965529e-27,19.517284684231964,3.401231832447338e-27,19.566125645919886,3.261800747374018e-27,19.611572663735167,3.150643341197746e-27,19.649218125992185,3.0580282301102256e-27,19.68161250780225
4.025301091981683e-27,19.383220305765878,3.908478232167472e-27,19.415196989622288,3.7291206902798665e-27,19.466200135450784,3.57249074674304e-27,19.512788452034936,3.448644780311332e-27,19.55109507555744,3.345910532897147e-27,19.58393042329183
4.4155226172806216e-27,19.282760949336584,4.275322482486338e-27,19.31779403694661,4.071723516163073e-27,19.370770532831656,3.896965849684461e-27,19.418399733603906,3.759783845406819e-27,19.457309039680705,3.646431119637713e-27,19.490546197886378
4.822571362205683e-27,19.187019576349034,4.657434197753555e-27,19.224849414207597,4.42827334867281e-27,19.279630180522958,4.2345017725568596e-27,19.328210435991227,4.083367195419884e-27,19.36767014482537,3.9589210678773785e-27,19.401274126065797
5.245267231357031e-27,19.095797185599512,5.053714640474438e-27,19.13618944421821,4.797750657402097e-27,19.19262204944159,4.5841362173585216e-27,19.242072448015577,4.418473890248023e-27,19.28203550100132,4.2824920194894755e-27,19.315974827681195
5.6821206113842836e-27,19.00894011342257,5.4627796159002616e-27,19.051682033008664,5.178872330043159e-27,19.109628221262895,4.94465865702019e-27,19.159875442332687,4.763945712313746e-27,19.200299223927708,4.61602690608862e-27,19.23454540451382
6.131326198317808e-27,18.926330178381594,5.8829542749958094e-27,18.97122755132121,5.570087165207416e-27,19.030561254944242,5.3146062327282204e-27,19.081538502206687,5.1183833221517366e-27,19.122384214415494,4.958176292414407e-27,19.156911322393135
6.5907660521885e-27,18.8478764933196,6.312276383874908e-27,18.894751217834855,5.969579153498856e-27,18.955356945760798,5.6922669705740404e-27,19.007003082112288,5.480149401826548e-27,19.048235237135778,5.307361449709995e-27,19.083019569495427
7.058023127278014e-27,18.773508540749024,6.748509203498521e-27,18.82219662222344,6.3752795992492316e-27,18.88396814278007,6.075691306996562e-27,18.9362269830637,5.8473797311468026e-27,18.977812988465335,5.661785069422218e-27,19.012832786444307
7.530406110877445e-27,18.703170238217144,7.189164738361018e-27,18.753520144730267,6.784888778595038e-27,18.816359401299547,6.462712575950956e-27,18.86917912986727,6.218002819634931e-27,18.911088946876202,6.019450216964847e-27,18.946324165906596
8.004985845478302e-27,18.63681481265867,7.631537598018746e-27,18.68868611302189,7.195907353985716e-27,18.752502325370358,6.850976662761494e-27,18.805835013143966,6.589768288951775e-27,18.848040873251993,6.378187712459268e-27,18.883472992123824
8.478642937146916e-27,18.574400368195214,8.072749096620489e-27,18.62766259674827,7.6056771946685e-27,18.692371511374237,7.23798049266732e-27,18.74617271275654,6.960283687414934e-27,18.78864888109419,6.735691630957889e-27,18.824260742585757
8.948125414146278e-27,18.515886077476058,8.509800536905421e-27,18.570417781786592,8.01143062754304e-27,18.635941042473075,7.621118434081425e-27,18.690169456676376,7.32705885661161e-27,18.732892033128916,7.089562073556668e-27,18.768667710024285
9.410114558838886e-27,18.461228957072382,8.939633945344632e-27,18.51691689364669,8.410346517228934e-27,18.583181509323676,7.997735108515264e-27,18.637798693861537,7.687556408553638e-27,18.680745444751697,7.437353819887123e-27,18.716670126422297
9.861296366798302e-27,18.41038120578288,9.359197912322498e-27,18.467119655758484,8.799611010888463e-27,18.53405754730291,8.365182569853676e-27,18.589027673821494,8.03924636656919e-27,18.632177888412045,7.776628985888352e-27,18.668237784099873
