t,Mdot,L_u,L_g,L_r,L_i,L_z,L_y
5822.774360000055,1.2882067994570186e+18,6.29962265132624e+18,5.773119948865712e+18,5.290710457647141e+18,4.923650603055591e+18,4.629081105893101e+18,4.3707708491822536e+18
5822.874360000055,1.281545609389694e+18,6.277766950331753e+18,5.75316434698215e+18,5.272617184436062e+18,4.907143594610016e+18,4.613939541757786e+18,4.356852703379271e+18
5822.974360000056,1.274902792142487e+18,6.255933910250401e+18,5.733228909768951e+18,5.254540349476848e+18,4.89064893655749e+18,4.5988067768108913e+18,4.3429404579253545e+18
5823.074360000056,1.268278336576957e+18,6.23412354721798e+18,5.713313655985975e+18,5.236479979145012e+18,4.874166659840927e+18,4.583682841685441e+18,4.329034140284031e+18
5823.174360000056,1.2616722315282445e+18,6.212335877328982e+18,5.693418604340496e+18,5.21843609977888e+18,4.857696795410326e+18,4.5685677670580183e+18,4.3151337779818967e+18
5823.274360000057,1.255084465805162e+18,6.190570916636332e+18,5.673543773486836e+18,5.200408737679046e+18,4.841239374222337e+18,4.553461583648573e+18,4.3012393986086313e+18
5823.374360000057,1.2485150281902943e+18,6.168828681151105e+18,5.653689182026055e+18,5.182397919107911e+18,4.82479442723986e+18,4.53836432222024e+18,4.2873510298170245e+18
5823.4743600000575,1.2419639074400968e+18,6.147109186842263e+18,5.633854848505584e+18,5.164403670289147e+18,4.808361985431611e+18,4.523276013579137e+18,4.273468699323005e+18
5823.574360000058,1.2354310922850045e+18,6.125412449636383e+18,5.61404079141892e+18,5.146426017407221e+18,4.791942079771711e+18,4.5081966885741875e+18,4.2595924349056655e+18
5823.674360000058,1.228916571429542e+18,6.103738485417418e+18,5.594247029205298e+18,5.128464986606895e+18,4.775534741239274e+18,4.493126378096937e+18,4.245722264407306e+18
